last_name,first_name,phone,email,address,postalZip,region,languages,GPA,major,university
Fulton,Stacey,(394) 281-2373,staceyfulton@aol.ca,1946 Donec Street,9444,Ontario,R Python SQL Javascript,3.6871087109922343,CIS,Colgate University
O'brien,Logan,(817) 713-6124,loganobrien6333@outlook.ca,3312 Tempor St.,682415,Perthshire,Javascript C#,2.533768732799092,CS,Piedmont College
Ford,Rhonda,(655) 314-1242,rhondaford@aol.ca,287-477 Convallis Av.,308178,Worcestershire,C# Go Swift,3.8653583550411303,CS,University of Virginia
Maxwell,Ferris,1-383-727-8245,ferrismaxwell@aol.ca,"P.O. Box 313, 8281 Pede Street",364276,Prince Edward Island,C C++ Java,3.804736345254219,MIS,University of the South
Workman,Porter,1-263-714-9111,porterworkman@protonmail.org,923-7636 Tristique Avenue,6653,Saskatchewan,C#,3.171495520165296,CIS,University of Massachusetts at Lowell
Griffin,Quail,1-317-118-3276,quailgriffin6998@yahoo.edu,Ap #465-107 Nulla St.,87-87,Argyllshire,C# Go,3.5662815489546222,MIS,Tri-State University
Contreras,Adrienne,(546) 187-2151,adriennecontreras@aol.couk,423-5865 Lacus. Road,4314,Warwickshire,Go Swift PHP Ruby,2.029748607721265,DS,St. Martin's College
Bonner,Kuame,1-854-934-1861,kuamebonner@google.org,"P.O. Box 699, 1430 Sed Ave",133156,Manitoba,Java,2.419740382174509,IST,Kalamazoo College
Rodriguez,Christopher,1-159-899-1743,christopherrodriguez1890@protonmail.couk,167-8935 Egestas Av.,14176,Iowa,R Python SQL,3.2092340588926955,CE,"California State University, Dominguez Hills"
Wise,Cathleen,1-486-225-1965,cathleenwise@google.couk,Ap #228-8183 Et Av.,35526-78611,Hawaii,Javascript C#,3.3714901438555387,CS,Chaminade University of Honolulu
Dickson,Walker,1-813-443-2757,walkerdickson@outlook.edu,"P.O. Box 750, 1648 Elit Road",MS20 8HD,Ayrshire,Javascript,3.654460832393595,DS,Ferris State University
Tyler,Daryl,1-668-678-7122,daryltyler9239@protonmail.couk,"P.O. Box 330, 9258 Turpis Street",254511,Oklahoma,R Python,3.8057524199100463,CIS,Eckerd College
Burnett,Nehru,(684) 775-7606,nehruburnett6823@protonmail.org,Ap #516-2676 Lacus. Ave,0233,Saskatchewan,R Python,3.103040374341891,CS,University of Hartford
Sweet,Bree,(219) 311-1941,breesweet7593@yahoo.edu,590-2921 Augue Avenue,14879,Nunavut,SQL Javascript C#,2.8703836615824727,IST,Bloomfield College
Tate,Burke,1-478-522-6251,burketate5499@aol.com,961-8082 Consectetuer St.,3724 JK,Idaho,C# Go Swift,3.1568742980058904,CE,Drew University
Bailey,Madeson,(436) 143-8382,madesonbailey1511@protonmail.com,2256 Molestie Ave,3727,Morayshire,Go,3.530313853602944,CS,Bethel College St. Paul
Wynn,Alea,(181) 387-8738,aleawynn371@google.net,8362 Vestibulum Ave,74-766,Newfoundland and Labrador,C# Go Swift PHP,2.96475839537054,CIS,St. Joseph's University
Abbott,Summer,1-356-475-0782,summerabbott9270@icloud.com,9948 Velit Av.,2538,Kirkcudbrightshire,Java R,2.614465768203151,CIS,Medcenter One College of Nursing
Daniel,Minerva,1-278-446-1787,minervadaniel1139@icloud.com,Ap #870-3909 Arcu. Ave,0819,Midlothian,Java R Python SQL,3.626172502014425,CS,The Corcoran College of Art
Talley,Kim,(446) 576-7708,kimtalley6440@aol.net,572-1449 Quisque Ave,1252 FK,Michigan,SQL Javascript C#,2.95370132824974,CS,University of Michigan - Ann Arbor
Stokes,Avye,1-717-146-8118,avyestokes@outlook.edu,Ap #749-6280 Eget St.,781638,Kent,Python SQL,2.8059731194281783,MIS,Oglethorpe University
Baird,Jolene,1-691-416-9157,jolenebaird@protonmail.couk,Ap #724-9455 Donec Av.,808821,Prince Edward Island,Python SQL Javascript C# Go,3.1186361551128363,CS,State University of New York College of Environmental Science and Forestry
Pollard,Breanna,1-511-552-5720,breannapollard@hotmail.ca,"P.O. Box 556, 4141 Pharetra, Street",3445,Ontario,SQL Javascript C# Go,3.8421518773330625,IST,Boston College
Hensley,Miriam,(328) 583-4819,miriamhensley719@protonmail.net,9343 Nam Ave,U1L 8C0,Shropshire,C++ Java,3.925914192215793,CIS,Christian Heritage College
Christensen,Harper,1-912-333-4677,harperchristensen@google.org,3256 Suspendisse Av.,1381,Nairnshire,SQL Javascript C#,3.3225834431753105,CS,Texas A&M University - Galveston
Brewer,Gretchen,1-644-583-5681,gretchenbrewer@icloud.net,856-4126 Nunc Ave,317613,Shropshire,Javascript C# Go Swift PHP,2.1682730285280316,MIS,Mount St. Clare College
Hunt,Ava,1-468-275-6022,avahunt7775@google.edu,Ap #498-3966 Ut Avenue,1874,Newfoundland and Labrador,C# Go Swift PHP,2.4479893479769324,CS,University of New Orleans
Collier,Tara,(824) 424-7356,taracollier321@aol.org,Ap #856-8407 Tempor Avenue,4426,Virginia,C C++ Java,2.6203616257707703,MIS,Southwestern Adventist University
Carroll,Raymond,(896) 681-7841,raymondcarroll@aol.net,3395 Vehicula Ave,5447,Nottinghamshire,SQL Javascript,2.566903980842177,DS,Ambassador University
Anderson,Sacha,1-159-931-9833,sachaanderson@icloud.couk,558-9732 Vivamus St.,13626,Bedfordshire,C# Go,2.3830256281193334,IST,Moravian College
Ross,Brynne,(317) 231-9963,brynneross@protonmail.couk,165-1258 Auctor Av.,HE21 3TQ,Ontario,Java R,3.9169281798517925,CS,University of Texas at Brownsville
Brown,Austin,(768) 277-6355,austinbrown5891@google.couk,"2263 Semper, Ave",456441,Montana,R Python SQL Javascript,3.1131053834122246,CIS,University of Minnesota - Twin Cities Campus
Haney,Abbot,1-231-678-4004,abbothaney@protonmail.ca,"P.O. Box 284, 2912 Penatibus St.",937638,Berwickshire,Swift PHP Ruby,2.9062433973715436,CIS,Pennsylvania College of Optometry
Snyder,Lee,(901) 835-4459,leesnyder@outlook.net,946-9650 Odio Ave,7598,Wisconsin,Javascript C# Go Swift PHP,2.2924692811869587,CE,Northeastern Illinois University
Carver,Jana,(168) 131-8444,janacarver@hotmail.net,904-4427 Dui. St.,2345-2697,New Brunswick,C++ Java,2.612423789286636,CS,Grove City College
Reed,Illana,1-312-371-4209,illanareed3036@icloud.org,Ap #806-593 Amet St.,17326-468,Roxburghshire,SQL Javascript C# Go Swift,2.43146610594549,MIS,Radford University
Sargent,Kenyon,(419) 666-7576,kenyonsargent619@icloud.couk,412-4912 In St.,574092,Nova Scotia,R Python SQL,2.334156314557876,MIS,Dakota Wesleyan University
Kidd,Martena,(472) 825-3746,martenakidd1205@outlook.org,"Ap #487-4842 Amet, Street",57043,Virginia,C C++ Java R,3.9023450452718293,MIS,Scholl College of Podiatric Medicine
Harris,Buffy,(835) 344-8469,buffyharris6439@google.couk,613-7053 Morbi Rd.,48402,California,Javascript C# Go Swift PHP,3.2533026676110124,CIS,Middlebury College
Clark,Ivor,(278) 512-0451,ivorclark4655@yahoo.couk,6030 Neque Street,76-82,Buckinghamshire,R Python SQL,2.629497309999593,CE,Stephen F. Austin State University
Ayers,Portia,(220) 134-5171,portiaayers1679@aol.com,986-124 Ac Rd.,478835,Northwest Territories,Python SQL,3.624607443377198,CE,Oklahoma State University
Hernandez,Elvis,(942) 453-6833,elvishernandez3437@yahoo.ca,Ap #445-8081 Parturient Avenue,5278,Kentucky,C C++ Java,3.343283281449224,CS,New England College of Optometry
Aguilar,Kyle,1-423-962-3818,kyleaguilar@icloud.couk,"2712 At, Ave",214730,Northwest Territories,R Python SQL Javascript,3.9802779478352504,IST,Medical College of Georgia
Barry,Tatum,(531) 775-4361,tatumbarry1477@hotmail.ca,"Ap #688-9848 Elit, Av.",8576,British Columbia,PHP Ruby Rust,3.780151281414472,CE,University of Illinois at Chicago
Rosario,Emmanuel,(886) 296-3418,emmanuelrosario7213@yahoo.org,"P.O. Box 331, 3952 Nec Ave",25482,Utah,Go Swift PHP Ruby,3.57403989121916,IT,University of New Mexico
Cochran,Channing,(896) 542-9147,channingcochran5163@yahoo.net,Ap #780-7199 Augue Avenue,7685,Merionethshire,Go Swift,2.9704911413266153,CS,"Embry Riddle Aeronautical University, Prescott"
Hahn,Caryn,(268) 466-2689,carynhahn@yahoo.ca,Ap #692-8510 Cras Ave,74315,Yukon,Javascript C# Go Swift,2.198150690576444,IST,University of Virginia
Maldonado,Aidan,1-254-696-4747,aidanmaldonado@yahoo.com,378-2119 Lacus St.,255877,New Brunswick,Ruby Rust,2.7098510882140174,CS,John Marshall Law School
Little,Akeem,(818) 188-8241,akeemlittle7136@icloud.net,"P.O. Box 889, 1392 Eu, Street",4456,East Lothian,Javascript C#,3.876195555083239,IST,Southwest Missouri State University - West Plains
Dunn,Blake,(916) 307-1322,blakedunn5395@yahoo.couk,5207 Pellentesque Rd.,50-384,New Brunswick,C++ Java R Python,3.1612573487803006,MIS,William Penn College
Perkins,Noelle,(704) 896-5067,noelleperkins6653@yahoo.ca,385-5343 Donec Rd.,61895,British Columbia,R Python SQL Javascript,2.3365461647938304,CIS,State University of New York at Buffalo
Booker,Marny,(833) 980-1870,marnybooker@yahoo.net,Ap #565-3487 Ac St.,732824,Kincardineshire,R Python SQL Javascript C#,2.8497920247360087,DS,Arizona State University
Gilmore,Griffith,1-784-287-0341,griffithgilmore2073@protonmail.org,3178 Lacus. Road,518242,Kent,C++ Java R,3.0676727312158025,CS,Chadron State College
Morin,Alexandra,1-775-374-4489,alexandramorin@aol.couk,304-4083 Mauris Street,97-28,Lanarkshire,Java R Python,2.4490007714648776,CS,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences)
Foley,Madeson,(648) 861-6316,madesonfoley1687@google.couk,Ap #233-5160 Convallis Avenue,51908,Nebraska,Javascript C# Go,3.284570127306057,MIS,Medical College of Ohio
Head,Lilah,(576) 276-4531,lilahhead4667@yahoo.ca,6640 Neque Avenue,84425,Nottinghamshire,Python SQL Javascript,3.970767509262377,CE,Angelo State University
Ortega,Ulysses,1-835-417-4545,ulyssesortega8390@protonmail.org,554-6962 Arcu. Rd.,725185,Missouri,Swift PHP,2.6981926081035326,DS,The Art Institutes International San Francisco
Cole,Xantha,1-991-365-7258,xanthacole3306@protonmail.org,4088 Sollicitudin Ave,574927,Pembrokeshire,Java R,2.4443330123067897,IT,Preston University
Hall,Ivor,1-416-358-3329,ivorhall@icloud.net,680-1456 Fusce Avenue,866569,Lincolnshire,Python SQL Javascript C# Go,3.6887798750181444,CS,University of Wisconsin - Stout
Byers,Jesse,(919) 873-9509,jessebyers3637@aol.net,927-556 Blandit Avenue,629833,Idaho,Rust,2.5806829691526554,DS,Alderson Broaddus College
Hall,Freya,(751) 255-6791,freyahall1603@yahoo.org,Ap #269-994 Eget St.,2344,Cornwall,C C++ Java R,2.046867171010587,CS,University of Alabama - Birmingham
Oliver,Tobias,(406) 814-3497,tobiasoliver@aol.edu,707-3371 Donec St.,355864,Indiana,R Python SQL Javascript,3.978602277192075,CE,Pennsylvania State University - Altoona
Maddox,Bethany,1-576-844-9365,bethanymaddox@icloud.couk,"P.O. Box 967, 8764 Risus. Rd.",24216,Manitoba,PHP Ruby,2.628015069010562,DS,Northern Illinois University
Schroeder,Dolan,(267) 976-6681,dolanschroeder5482@outlook.edu,Ap #580-4870 Ullamcorper Avenue,18337-96719,Georgia,SQL Javascript C#,3.781841679401884,IST,New York Institute of Technology
Park,Rowan,1-461-371-5576,rowanpark@protonmail.edu,"868-4246 Ut, Av.",1800,Pembrokeshire,Go Swift PHP,2.881714962515132,IST,Baylor University
Dunn,Germaine,1-680-304-1435,germainedunn@aol.ca,"P.O. Box 192, 5955 Quis, Ave",723962,Ontario,Ruby Rust,2.3198197600189143,IST,Wesley College Mississippi
Mcintosh,Kelsie,(374) 443-5266,kelsiemcintosh@yahoo.net,Ap #495-5446 Justo Rd.,723543,Kincardineshire,Swift PHP Ruby,3.275010606394548,CS,Worcester State College
Morin,Arsenio,1-332-595-3211,arseniomorin@yahoo.ca,5733 Sit Street,LL3 5PU,Mississippi,Java R Python SQL,3.7904922846299867,IT,American Conservatory of Music
Beach,Yoko,1-272-261-5458,yokobeach@protonmail.edu,8559 Nec St.,9401,Alberta,Java,2.5723468214152785,CS,University of Vermont
Chandler,Rebekah,1-621-375-5676,rebekahchandler7889@yahoo.edu,3093 Enim Ave,251244,Kansas,C++ Java R,2.580635907599321,CIS,Barry University
Stephenson,Elijah,(848) 412-7645,elijahstephenson4536@outlook.ca,8509 Rutrum Rd.,29764,Stirlingshire,SQL Javascript C#,3.625132908528194,MIS,Clark Atlanta University
Le,Arden,(108) 717-4433,ardenle8596@aol.couk,"Ap #952-7522 Et, St.",6882-2125,Brecknockshire,C++ Java R Python,2.530450993766558,IST,Massachusetts Institute of Technology
Aguilar,Hamilton,1-481-572-3351,hamiltonaguilar@google.edu,"P.O. Box 344, 9665 Tortor Rd.",451857,Maine,Python SQL Javascript C# Go,2.883413546495122,CS,"Florida Metropolitan University, Fort Lauderdale College"
Hendrix,Oleg,(630) 454-1125,oleghendrix5146@aol.ca,867-6640 Vitae Street,3006,Georgia,Javascript,3.072918281987291,IT,The Art Institutes International San Francisco
Kirk,Hiroko,1-493-926-7347,hirokokirk@protonmail.com,617-1213 Convallis Ave,86112,Arizona,Python,2.022088287980198,CIS,Southeastern Louisiana University
Sharp,Cody,1-551-776-3815,codysharp@hotmail.couk,"P.O. Box 891, 8453 Lobortis Rd.",96-64,Caithness,PHP Ruby Rust,3.8245865120195686,CIS,Tufts University
Sosa,Macey,1-787-536-7063,maceysosa@icloud.couk,231-8803 Donec Road,31-43,Manitoba,R Python,3.850763982607504,IST,Norfolk State University
Downs,Guy,(172) 626-4879,guydowns7973@outlook.net,429-9300 Praesent Road,2005,Kinross-shire,Javascript,3.6894124387795157,CS,Vanguard University of Southern California
Sharpe,Ralph,(848) 748-3846,ralphsharpe5035@yahoo.com,699-7402 Penatibus St.,251226,Alabama,Ruby,3.0664223961248442,IT,Graduate Theological Union
Beck,Cameron,1-629-990-8883,cameronbeck@protonmail.couk,"P.O. Box 558, 1941 Mi St.",5018,Nunavut,C++ Java,3.4464316378767164,CIS,West Coast University
Leon,Dana,(769) 452-6036,danaleon5612@icloud.couk,Ap #651-4502 Lacinia Av.,516734,Arizona,Python SQL,3.7403207228876214,MIS,New England School of Law
Frazier,Camden,1-911-611-6240,camdenfrazier@hotmail.net,Ap #252-5118 Proin Road,291908,Yorkshire,SQL Javascript C# Go Swift,2.30808403029794,CIS,University of Hawaii - Manoa
Morse,Brennan,1-274-557-7346,brennanmorse@outlook.ca,557-6150 Aliquam Av.,S9 8WM,Glamorgan,Go Swift,3.66814263692668,CE,Nebraska Wesleyan University
Alvarez,Ezekiel,1-454-406-0282,ezekielalvarez@hotmail.couk,Ap #770-8002 Ac Ave,26918,Pennsylvania,SQL Javascript,2.6410122527238906,MIS,State University of New York Upstate Medical University 
Jacobson,Nita,(269) 771-5772,nitajacobson@protonmail.ca,Ap #766-7991 In Rd.,418245,Huntingdonshire,C# Go Swift PHP Ruby,3.8060296061426304,DS,"Concordia College, Moorhead"
Gibbs,Travis,1-461-465-8671,travisgibbs@yahoo.com,851-6495 Est. Street,8135,Buteshire,C++ Java R Python,3.6706151317791678,CE,St. Mary-of-the-Woods College
Parks,Basil,(475) 782-2161,basilparks@outlook.org,Ap #107-1693 Rhoncus. St.,612485,Wisconsin,Swift PHP Ruby,3.57168598235275,CS,Wagner College
Mccoy,Farrah,(558) 778-7118,farrahmccoy6176@outlook.edu,Ap #612-7536 Arcu. Rd.,27028,Indiana,Python SQL Javascript,3.80318881453515,CE,University of Missouri - Saint Louis
Atkinson,Gage,(848) 733-6185,gageatkinson2773@aol.ca,"665-1804 A, Av.",48864,Renfrewshire,Go Swift PHP Ruby,3.6837418097770946,IT,Mount Vernon College
Hoover,Chase,(731) 681-0855,chasehoover7670@yahoo.ca,644-2979 Convallis Ave,8671,Somerset,C#,2.8370674381448975,CS,The Curtis Institute of Music
O'Neill,Cairo,(550) 538-4652,cairooneill5518@aol.org,3156 Iaculis Road,858672,Mississippi,C# Go Swift PHP Ruby,3.4047562398180222,IST,University of South Carolina - Beaufort
Madden,Channing,(736) 188-3808,channingmadden8599@icloud.net,"P.O. Box 524, 9538 Gravida Road",70282,Clackmannanshire,R Python,2.469584072789484,CE,Christian Brothers University
Phillips,Linus,1-364-534-6621,linusphillips2921@icloud.edu,"Ap #680-1690 Suscipit, St.",424643,Herefordshire,Javascript C# Go,3.449985150424231,CS,Cosmopolitan University
Carr,Shelley,(474) 373-4814,shelleycarr@icloud.ca,"Ap #341-6347 Cursus, St.",3080,Nunavut,Python SQL Javascript C#,3.9126728820141237,CIS,University of Maryland University College
Nunez,Tiger,(606) 480-1634,tigernunez3016@protonmail.org,402-681 Molestie Rd.,187452,Alberta,C++ Java R Python,3.2311553504322994,CIS,Baptist Bible College of Missouri
Bass,Amaya,1-459-576-7789,amayabass9649@icloud.net,"467-9104 Sapien, Avenue",962347,Hawaii,Javascript C# Go Swift,2.071954628188971,DS,Covenant College
Garza,Vernon,(418) 653-8732,vernongarza@aol.ca,4735 Imperdiet St.,55678,Gloucestershire,Java R Python SQL,3.7588115431014266,IST,Williams Baptist College
Calderon,Quin,1-914-816-7060,quincalderon3195@yahoo.net,"P.O. Box 871, 6582 Tempus Av.",551628,Orkney,Javascript C# Go,2.7849809942721997,CIS,University of North Texas Health Science Center at Fort Worth
Albert,Colin,1-721-515-3254,colinalbert@yahoo.ca,"P.O. Box 460, 5826 Rutrum Rd.",6227,Newfoundland and Labrador,C++ Java R Python,3.134922208341668,CS,Philadelphia College of Bible
Browning,Ira,(245) 733-7061,irabrowning8517@aol.org,8902 Sed Rd.,864015,Minnesota,Ruby Rust,2.369243383796448,DS,"Long Island University, Southampton College"
Hatfield,Armand,1-883-922-1038,armandhatfield@hotmail.org,8114 Et Rd.,LU94 6HO,Mississippi,C# Go Swift PHP,2.4937189793628285,CS,University of Pittsburgh at Bradford
Bullock,Renee,1-281-681-4725,reneebullock@protonmail.ca,364-5721 Ut Road,1523,Maine,C C++,2.925821185630667,CIS,Western Maryland College
Huffman,Zoe,1-549-516-3140,zoehuffman3980@hotmail.com,990-1312 Morbi Rd.,8051,Yukon,Javascript C# Go Swift PHP,2.6637046191681035,CS,Paine College
Morse,Sopoline,(542) 355-1778,sopolinemorse@aol.ca,724-2905 Sed Avenue,6263,Newfoundland and Labrador,Python SQL,3.1037723095111556,CS,Eastern Virginia Medical School
Lambert,Kevin,(587) 855-6172,kevinlambert@hotmail.couk,Ap #668-2765 Nisl Av.,6632,Berwickshire,Java R Python,3.3476500985644995,IST,Rust College
Cunningham,Barclay,(565) 217-6475,barclaycunningham@yahoo.edu,Ap #243-7988 Lorem St.,51605,New Brunswick,R Python SQL,3.5734751727329623,CIS,Peace College
Pollard,Lionel,(389) 846-3544,lionelpollard6098@protonmail.com,483-5713 Et St.,45-57,Kentucky,Java R,2.3811850172739346,CS,Delaware State University
Henry,Carissa,1-442-355-3322,carissahenry@hotmail.net,"Ap #473-8133 Lorem, St.",835927,Arizona,Go Swift,2.9972588738902743,CIS,Montana State University
Lynch,Gregory,1-767-345-1839,gregorylynch@google.org,Ap #875-9963 Nibh. Street,68443,Yukon,Go Swift PHP,2.6426708932953433,IT,"University of Houston, Downtown"
Buck,Ferdinand,1-377-976-6954,ferdinandbuck7684@protonmail.org,260-7241 Consequat Ave,18117,Arizona,Go Swift PHP,2.5593961791795223,MIS,University of Wyoming
Barton,Vance,(605) 813-2739,vancebarton@aol.org,1720 Sociis Street,454517,Indiana,C# Go Swift PHP,3.1794056133944046,CE,Rensselaer Polytechnic Institute
Whitley,Sheila,(688) 662-3454,sheilawhitley@outlook.ca,Ap #776-924 Mattis Rd.,56-704,Oregon,C C++ Java R,3.5736485790247063,MIS,University of Texas Health Center at Houston
Guthrie,Adam,1-989-147-0282,adamguthrie@google.com,"P.O. Box 282, 9973 Fringilla Street",87310,Saskatchewan,Java,2.3343951791604285,MIS,O'More College of Design
Graves,Imogene,(317) 741-6924,imogenegraves2673@aol.ca,8692 Tortor. Rd.,242351,Ayrshire,Ruby Rust,2.5087150191031142,CS,Mercyhurst College
Paul,Elaine,1-874-854-3476,elainepaul4449@outlook.com,Ap #993-1072 Proin St.,5776,Flintshire,Python SQL,2.0973831421242872,CIS,Charleston Southern University
Mitchell,Lydia,(543) 759-4245,lydiamitchell@yahoo.com,Ap #537-5527 Phasellus Street,26755,Prince Edward Island,Python SQL Javascript C#,2.452266445651045,CS,University of Tampa
Sharpe,Hunter,1-286-865-7486,huntersharpe@hotmail.com,"P.O. Box 401, 6763 Justo St.",2728,Nebraska,Go Swift,2.651441290053217,CIS,Western Governors University
Dickerson,Karen,(164) 432-3637,karendickerson5275@yahoo.couk,9870 Phasellus Av.,5252,Maine,Python SQL Javascript C#,3.387824423595751,DS,Dixie College
Rasmussen,Flynn,(346) 927-7277,flynnrasmussen4722@outlook.ca,488-7821 Quis Av.,274473,Hertfordshire,Java R Python SQL Javascript,2.612629498497853,CE,Massachusetts School of Professional Psychology
Valencia,Tamekah,(615) 385-8065,tamekahvalencia2125@icloud.edu,5971 Id St.,462360,Argyllshire,C# Go Swift PHP,3.5618876826070958,CIS,Piedmont Baptist College
Vega,Mia,1-717-523-1163,miavega1772@outlook.couk,Ap #983-5541 Erat. Rd.,3174,Wisconsin,Swift PHP Ruby Rust,3.5431469568810243,CS,Hebrew College
Simon,Aline,1-302-465-8458,alinesimon@outlook.couk,Ap #364-830 Interdum. St.,2872 RV,Gloucestershire,R Python,2.1095200631182953,CS,MacMurray College
Todd,Pandora,1-467-685-1308,pandoratodd@protonmail.com,Ap #963-2168 Ipsum. Av.,180713,Manitoba,Go Swift PHP Ruby,2.997880075518612,IT,Martin Luther College
Miller,Fay,(643) 877-2428,faymiller@hotmail.net,4969 Fames St.,2363-6146,Cornwall,C C++ Java,2.867284168624811,CIS,Slippery Rock University
Melton,Alyssa,(671) 690-4655,alyssamelton9926@outlook.edu,856-3024 Eu Rd.,2043,Northwest Territories,C++ Java R Python,2.2026976832925556,CIS,Southwestern University
Wong,Gemma,(661) 386-2083,gemmawong4758@yahoo.net,"3952 Auctor, Rd.",BC4 5JF,Oregon,C++ Java R Python SQL,3.1022991671755253,MIS,John Marshall Law School
Hester,Emery,(897) 154-8185,emeryhester@protonmail.net,3934 Eros Rd.,2043,Nova Scotia,Swift PHP Ruby,2.884610749181576,CS,Case Western Reserve University
Hancock,Jonah,1-905-522-8141,jonahhancock@hotmail.couk,Ap #956-3493 Nunc Avenue,40804,Saskatchewan,Go Swift PHP,2.843886124265417,CS,New York Film Academy
England,Isaac,1-447-755-1931,isaacengland847@google.com,3084 Cras St.,722642,Ontario,C# Go Swift,2.596590660796885,CS,Southern California Institute of Architecture
Nunez,Roanna,(416) 217-0498,roannanunez@aol.org,"P.O. Box 584, 662 Quisque Road",286736,Yukon,Go Swift PHP,3.6370448453378605,CE,Grambling State University
Ellis,Cain,1-732-382-4324,cainellis7075@aol.org,Ap #333-8484 Semper Road,57-611,British Columbia,R,3.5314767424368414,CS,Rice University
Vasquez,Shoshana,1-613-578-6615,shoshanavasquez8648@google.com,310-5243 Imperdiet Rd.,52269,Northwest Territories,Ruby Rust,2.0061545916492056,MIS,"Northwood University, Florida Campus"
Pate,Britanney,1-425-764-9407,britanneypate@icloud.com,893-8568 Vitae Av.,2974,Indiana,Go Swift PHP,2.0674572526320816,CS,Morris College
Pierce,Ivory,(810) 223-2761,ivorypierce4492@yahoo.couk,3645 Enim Av.,441615,Cambridgeshire,Python SQL Javascript C# Go,3.349088955564308,IST,Georgia Health Sciences University
Hudson,Linda,(567) 511-0725,lindahudson@protonmail.org,566-8429 Sit St.,86835,West Lothian,C# Go Swift,3.4089571608454836,IST,Florida Atlantic University
Orr,Fatima,1-810-218-6607,fatimaorr8027@outlook.net,636-1355 Ut Rd.,1312,Northwest Territories,Python SQL Javascript C#,2.6258302633378374,CE,"Johnson & Wales University, Charleston"
Pollard,Geoffrey,(148) 875-1132,geoffreypollard81@protonmail.com,"750-1611 A, Ave",979662,Sussex,SQL Javascript C#,3.2443743303548978,CIS,Purdue University North Central
Miles,Lesley,1-887-422-2443,lesleymiles@google.net,"P.O. Box 650, 8739 At St.",G3 5EO,Stirlingshire,Go Swift PHP Ruby,3.7108998891283482,MIS,Hollins University
Aguilar,Lance,1-744-932-9836,lanceaguilar@google.ca,588-2265 Id Road,129424,Virginia,Swift PHP,2.5670121752060444,IST,Haverford College
Rush,Jescie,(725) 220-4816,jescierush3511@google.edu,Ap #848-9423 Eu Street,261197,Nevada,Java R Python SQL,2.9127993397317313,IST,New College of California
Merritt,Kane,(320) 765-9252,kanemerritt8339@hotmail.ca,698-8015 Cursus St.,0253-5890,Wisconsin,C++ Java R Python,3.7082367827277354,CS,Christian Brothers University
Nelson,Britanney,1-831-478-4633,britanneynelson195@google.org,"P.O. Box 728, 7710 Semper Rd.",QN2I 9FK,Quebec,C C++ Java,2.6126030727625986,CE,United States Naval Academy
Head,Denton,(755) 537-2154,dentonhead1020@protonmail.couk,"Ap #358-6206 Non, Av.",2101,Prince Edward Island,C++ Java R Python,3.9286351240346464,CIS,Salve Regina University
Silva,Melyssa,(266) 289-8763,melyssasilva3478@outlook.ca,"331-1254 In, St.",7112,Norfolk,Python SQL Javascript C#,3.689397182000941,CIS,Syracuse University
Landry,Lane,1-150-512-6693,lanelandry1640@hotmail.net,885-9802 Nunc Rd.,80577,Dumfriesshire,Javascript C# Go,2.6612521234519995,CS,Northwest College of Art
Nichols,Rina,(101) 445-8291,rinanichols@hotmail.com,Ap #140-7312 Malesuada St.,915754,Illinois,Swift PHP Ruby,3.9031697860264125,IST,Mount St. Mary's College California
Barnes,Solomon,(365) 813-5186,solomonbarnes@yahoo.couk,141-5740 Urna Rd.,79320,Washington,Python SQL Javascript C#,3.312566858141734,DS,Lees-McRae College
Hunter,Mira,(317) 556-0317,mirahunter4831@aol.edu,Ap #678-5169 Libero Road,J8R 6C2,Manitoba,C++ Java R Python SQL,3.2120564777409153,CS,Clarke College
Cooper,Dillon,(555) 943-6027,dilloncooper2738@icloud.edu,"P.O. Box 202, 6903 Porttitor St.",77654,Texas,Swift,2.431589221111955,IT,The Defiance College
Holman,Camden,(611) 913-8671,camdenholman2890@icloud.couk,"P.O. Box 407, 5436 Tempor Road",B6A 9C3,Delaware,Python SQL Javascript C#,3.55568715697367,CS,American Military University
Mcguire,Macon,(894) 757-2472,maconmcguire@outlook.edu,Ap #899-9556 Porttitor St.,747373,Massachusetts,Javascript C# Go Swift,2.1535262861048885,IT,Ambassador University
Boyle,Oscar,(972) 496-7523,oscarboyle9993@outlook.org,473-890 Feugiat Rd.,5412,Orkney,Go Swift PHP Ruby,3.0375258878714257,MIS,University of Nevada - Las Vegas
Robles,Nora,(833) 217-9269,norarobles7535@yahoo.edu,"P.O. Box 947, 7497 Aenean St.",B2V 4A6,Quebec,Swift PHP Ruby,3.3410720293013503,MIS,Research College of Nursing - Rockhurst University
Pena,Fitzgerald,(937) 524-2897,fitzgeraldpena@icloud.ca,643-4194 Curabitur Rd.,3872,Inverness-shire,Javascript,3.3710863609802937,MIS,"Cleveland Chiropractic College, Kansas City"
Todd,Marah,(418) 961-5437,marahtodd7761@protonmail.org,"P.O. Box 566, 8069 Mauris Avenue",38308,Indiana,Java R,3.0161263885624616,IT,Le Moyne-Owen College
Burgess,Mollie,1-241-342-2081,mollieburgess9361@outlook.com,"P.O. Box 263, 8724 Tempus Road",15682,Mississippi,Python SQL Javascript C#,2.0026312038351484,IST,"California State University, Long Beach"
Finch,Rafael,(240) 208-0317,rafaelfinch@protonmail.com,Ap #810-513 Nisl. Rd.,839425,Nebraska,Swift PHP Ruby Rust,3.8362345986238795,DS,Appalachian State University
